INSTNM,CITY,STABBR,REGION,REGION_NAME,CONTROL,CONTROL_NAME,ADM_RATE,SAT_AVG,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,GRAD_RATE,MD_EARN_WNE_P10
Florida State University,Tallahassee,FL,5,Southeast,1,Public,0.2422,1361.0,32212,5656,18786,0.8561,61675
Fordham University,Bronx,NY,2,Mid East,2,Private nonprofit,0.5931,1418.0,10512,64915,64915,0.8191,85569
George Mason University,Fairfax,VA,5,Southeast,1,Public,0.8748,1274.0,27752,14220,38688,0.6784,76343
George Washington University,Washington,DC,2,Mid East,2,Private nonprofit,0.4709,1433.0,11182,67710,67710,0.8398,90873
Georgetown University,Washington,DC,2,Mid East,2,Private nonprofit,0.1291,1487.0,7569,68017,68017,0.9481,103494
Georgia Gwinnett College,Lawrenceville,GA,5,Southeast,1,Public,0.955,,11344,4532,13844,0.2147,47730
Georgia Institute of Technology-Main Campus,Atlanta,GA,5,Southeast,1,Public,0.1407,1480.0,18785,12058,34484,0.9402,102772
Georgia Southern University,Statesboro,GA,5,Southeast,1,Public,0.8789,1053.0,21790,6022,17734,0.549,53236
Georgia State University,Atlanta,GA,5,Southeast,1,Public,0.5544,1076.0,26623,8664,24840,0.5306,47384
Grand Canyon University,Phoenix,AZ,6,Southwest,3,Private for-profit,0.7891,1077.0,73371,17850,17850,0.4346,42186
Grand Valley State University,Allendale,MI,3,Great Lakes,1,Public,0.8302,1074.0,18854,15140,21548,0.6701,56118
Grinnell College,Grinnell,IA,4,Plains,2,Private nonprofit,0.1451,1486.0,1729,68106,68106,0.8812,62830
Hamilton College,Clinton,NY,2,Mid East,2,Private nonprofit,0.1362,1506.0,2030,68960,68960,0.9063,78411
Harvard University,Cambridge,MA,1,New England,2,Private nonprofit,0.0365,1553.0,7601,61676,61676,0.9758,101817
Harvey Mudd College,Claremont,CA,8,Far West,2,Private nonprofit,0.1266,1545.0,921,68613,68613,0.9188,138687
Haverford College,Haverford,PA,2,Mid East,2,Private nonprofit,0.1237,1513.0,1430,70688,70688,0.8964,79966
Howard University,Washington,DC,2,Mid East,2,Private nonprofit,0.4134,1213.0,10108,35810,35810,0.6996,63066
Illinois State University,Normal,IL,3,Great Lakes,1,Public,0.8815,1113.0,19057,16144,28210,0.6454,62117
Indiana University-Bloomington,Bloomington,IN,3,Great Lakes,1,Public,0.7821,1313.0,37806,12144,41891,0.8021,63742
Indiana University-Indianapolis,Indianapolis,IN,3,Great Lakes,1,Public,0.7637,1139.0,13830,10762,34891,0.5445,55198
Iowa State University,Ames,IA,4,Plains,1,Public,0.8866,1204.0,25367,10787,28881,0.7532,63386
James Madison University,Harrisonburg,VA,5,Southeast,1,Public,0.7152,1256.0,20888,14250,31604,0.7972,69954
Johns Hopkins University,Baltimore,MD,2,Mid East,2,Private nonprofit,0.0644,1553.0,5693,65230,65230,0.9378,87555
Kansas State University,Manhattan,KS,4,Plains,1,Public,0.8169,1151.0,15142,11221,28568,0.7108,57262
Kean University,Union,NJ,2,Mid East,1,Public,0.759,1040.0,11433,14299,22446,0.4657,57237
Kennesaw State University,Kennesaw,GA,5,Southeast,1,Public,0.6919,1113.0,41254,5808,17736,0.522,57552
Kent State University at Kent,Kent,OH,3,Great Lakes,1,Public,0.8634,1099.0,19320,13232,23082,0.6372,45388
Liberty University,Lynchburg,VA,5,Southeast,2,Private nonprofit,0.9898,,50012,22465,22465,0.6533,44813
Louisiana State University and Agricultural & Mechanical College,Baton Rouge,LA,5,Southeast,1,Public,0.7333,1285.0,30594,11954,28631,0.6881,61251
Loyola University Chicago,Chicago,IL,3,Great Lakes,2,Private nonprofit,0.816,1297.0,11737,53710,53710,0.7304,71530
Massachusetts Institute of Technology,Cambridge,MA,1,New England,2,Private nonprofit,0.0455,1560.0,4535,62396,62396,0.9641,143372
Metropolitan State University of Denver,Denver,CO,7,Rocky Mountains,1,Public,0.988,1019.0,15002,11124,30684,0.3154,52093
Miami University-Oxford,Oxford,OH,3,Great Lakes,1,Public,0.754,1317.0,16656,18161,41221,0.7979,55076
Michigan State University,East Lansing,MI,3,Great Lakes,1,Public,0.848,1269.0,40922,16458,43842,0.8072,67253
Middle Tennessee State University,Murfreesboro,TN,5,Southeast,1,Public,0.6909,1121.0,16301,10266,31574,0.537,48541
Middlebury College,Middlebury,VT,1,New England,2,Private nonprofit,0.1075,1508.0,2738,67600,67600,0.914,76310
Minnesota State University-Mankato,Mankato,MN,4,Plains,1,Public,0.8844,1150.0,11703,9572,18942,0.5395,56922
Mississippi State University,Mississippi State,MS,5,Southeast,1,Public,0.7764,1219.0,18397,10202,27637,0.6667,51513
Missouri State University-Springfield,Springfield,MO,4,Plains,1,Public,0.9053,1122.0,13313,9502,18770,0.5791,49827
Montana State University,Bozeman,MT,7,Rocky Mountains,1,Public,0.8214,1183.0,14451,8460,33287,0.5708,53263
Montclair State University,Montclair,NJ,2,Mid East,1,Public,0.8789,1070.0,18376,15912,26022,0.6466,61415
